,price,Commune,rank_city_pr,house_area,number_of_rooms,terrace,terrace_area,fully_equipped_kitchen,open_fire,SB_as new,SB_just renovated,SB_good,SB_to be done up,SB_to renovate,SB_to restore
5110,199000,ANTWERPEN,335.0,76.0,1,1,4.0,1,0,0,0,1,0,0,0
5111,199717,MAASEIK,426.0,69.0,2,1,15.0,0,0,0,0,0,0,0,0
5112,185000,NIEUWPOORT,364.0,48.0,1,0,0.0,1,0,1,0,0,0,0,0
5113,185000,KOKSIJDE,324.0,72.0,1,1,,0,0,1,0,0,0,0,0
5114,179000,OOSTENDE,167.0,71.0,1,1,4.0,1,0,0,0,1,0,0,0
5115,179000,ANTWERPEN,335.0,81.0,2,0,0.0,0,0,0,0,0,0,1,0
5116,159000,WEVELGEM,127.0,55.0,1,1,4.0,1,0,1,0,0,0,0,0
5117,169000,MAASMECHELEN,270.0,90.0,2,0,0.0,1,0,1,0,0,0,0,0
5118,185000,WAREGEM,298.0,78.0,1,1,11.0,1,0,0,0,0,0,0,0
5119,194285,LANAKEN,125.0,82.0,2,1,18.0,1,0,1,0,0,0,0,0
5120,195990,LANAKEN,125.0,87.0,2,1,10.0,1,0,1,0,0,0,0,0
5121,197395,LANAKEN,125.0,87.0,2,1,23.0,1,0,1,0,0,0,0,0
5122,158000,ANTWERPEN,335.0,74.0,1,0,0.0,1,0,0,0,0,0,0,0
5123,165000,MONS,40.0,105.0,3,1,13.0,1,0,0,0,0,0,0,0
5124,165000,KOKSIJDE,324.0,52.0,2,0,0.0,0,0,0,0,1,0,0,0
5125,169000,GEEL,255.0,60.0,1,0,0.0,1,0,1,0,0,0,0,0
5126,189900,BOOM,233.0,75.0,1,1,15.0,1,0,1,0,0,0,0,0
5127,190000,DENDERMONDE,243.0,85.0,2,1,14.0,0,0,1,0,0,0,0,0
5128,191500,BOOM,233.0,81.0,1,1,11.0,1,0,1,0,0,0,0,0
5129,195000,BRUGGE,468.0,59.0,1,1,10.0,1,0,1,0,0,0,0,0
5130,200000,BRUGGE,468.0,54.0,1,1,7.0,1,0,1,0,0,0,0,0
5131,165000,MENEN,108.0,65.0,1,1,20.0,1,0,0,0,1,0,0,0
5132,185000,EVERE,263.0,74.0,2,1,16.0,1,0,0,0,0,0,0,0
5133,169000,HASSELT,411.0,49.0,1,0,0.0,0,0,0,0,0,0,0,0
5134,179000,HASSELT,411.0,49.0,1,1,24.0,1,0,1,0,0,0,0,0
5135,199000,ROTSELAAR,384.0,59.0,1,1,6.0,1,0,1,0,0,0,0,0
5136,163500,ANTWERPEN,335.0,62.0,1,1,6.0,0,0,1,0,0,0,0,0
